LoanNr_ChkDgt,Zip,NAICS,ApprovalFY,Term,NoEmp,NewExist,CreateJob,RetainedJob,FranchiseCode,UrbanRural,RevLineCr,LowDoc,DisbursementGross,SBA_Appv,prediction
2086325003,67219,44,2007,84,4,1.0,0,4,0,1,0,0,15000.0,12750.0,paid in full
1808175004,33172,53,2006,49,12,1.0,0,12,0,1,0,0,150000.0,50000.0,charged off
5628895009,79925,42,2013,9,4,1.0,0,4,0,1,0,0,32000.0,16000.0,paid in full
3844064006,4090,72,2000,12,21,1.0,0,21,1,2,1,0,130000.0,50000.0,paid in full
3405335009,5301,44,2009,60,0,2.0,6,6,0,2,0,0,41000.0,20500.0,paid in full
8599534003,47402,31,2005,84,35,1.0,2,37,1,2,1,0,947399.0,125000.0,paid in full
1686675002,95820,45,2006,43,1,1.0,0,1,0,1,0,0,7368.0,2500.0,charged off
5549844000,52333,81,2002,240,4,1.0,1,0,1,2,0,0,271000.0,271000.0,paid in full
4953783007,35202,42,1992,240,4,1.0,4,0,1,0,0,0,115000.0,115000.0,paid in full
2649435006,3598,23,2007,59,5,1.0,0,5,0,1,0,0,100000.0,50000.0,charged off
6776594002,45241,81,2004,80,5,1.0,0,5,35706,1,1,0,244064.0,62500.0,paid in full
4783645010,60564,72,2011,60,15,1.0,20,20,0,1,0,0,150000.0,75000.0,paid in full
6941933006,29702,23,1994,60,10,1.0,0,0,1,0,0,0,566180.0,481253.0,paid in full
5520595000,60062,62,2013,84,10,1.0,4,10,0,1,0,0,260000.0,130000.0,paid in full
2616375005,90043,54,2007,0,3,1.0,0,3,0,1,1,0,43997.0,12500.0,charged off
4346174006,53027,32,2001,120,5,1.0,5,0,1,1,0,0,385000.0,385000.0,paid in full
2790674000,97478,72,1999,84,10,2.0,0,0,10528,0,0,0,116000.0,87000.0,paid in full
4779465001,78628,62,2011,84,1,2.0,3,3,0,1,1,0,13814.0,5000.0,paid in full
6302834000,19341,62,2003,84,2,1.0,0,2,1,2,1,0,25520.0,2500.0,paid in full
8004564003,14304,81,2005,84,5,1.0,0,5,1,1,1,0,5000.0,2500.0,paid in full
2276525005,77429,23,2007,84,1,2.0,0,1,0,1,1,0,5000.0,2500.0,paid in full
1045855008,84118,52,2004,84,1,1.0,0,0,1,1,1,0,25000.0,12500.0,paid in full
1179065002,61820,61,2005,84,2,1.0,2,2,1,1,1,0,383904.0,50000.0,paid in full
